symbol,expected_date,rolling_last,full_last,reason
AERTW,2025-10-20,,,no_rolling_cache
AIRT,2025-10-20,,,no_rolling_cache
ARIS,2025-10-20,,,no_rolling_cache
ASPCR,2025-10-20,,,no_rolling_cache
AVDX,2025-10-20,,,no_rolling_cache
BAYAR,2025-10-20,,,no_rolling_cache
BFRIW,2025-10-20,,,no_rolling_cache
BINI,2025-10-20,,,no_rolling_cache
BSAAR,2025-10-20,,,no_rolling_cache
CAPNR,2025-10-20,,,no_rolling_cache
CARM,2025-10-20,,,no_rolling_cache
CHPGR,2025-10-20,,,no_rolling_cache
CURIW,2025-10-20,,,no_rolling_cache
DFSCW,2025-10-20,,,no_rolling_cache
DGICB,2025-10-20,,,no_rolling_cache
DRDBW,2025-10-20,,,no_rolling_cache
DTSQR,2025-10-20,,,no_rolling_cache
DYCQR,2025-10-20,,,no_rolling_cache
ENFY,2025-10-20,,,no_rolling_cache
EPIX,2025-10-20,,,no_rolling_cache
FIGXW,2025-10-20,,,no_rolling_cache
FORL,2025-10-20,,,no_rolling_cache
FORLW,2025-10-20,,,no_rolling_cache
FSHPR,2025-10-20,,,no_rolling_cache
GCLWW,2025-10-20,,,no_rolling_cache
GSRT,2025-10-20,,,no_rolling_cache
GSRTR,2025-10-20,,,no_rolling_cache
GSRTU,2025-10-20,,,no_rolling_cache
HSPTR,2025-10-20,,,no_rolling_cache
IROQ,2025-10-20,,,no_rolling_cache
KTTAW,2025-10-20,,,no_rolling_cache
LCFYW,2025-10-20,,,no_rolling_cache
LOKVW,2025-10-20,,,no_rolling_cache
LPAAW,2025-10-20,,,no_rolling_cache
MACIW,2025-10-20,,,no_rolling_cache
MAYS,2025-10-20,,,no_rolling_cache
MGRM,2025-10-20,,,no_rolling_cache
MTAL,2025-10-20,,,no_rolling_cache
PGACR,2025-10-20,,,no_rolling_cache
PHD,2025-10-20,,,no_rolling_cache
PRHIZ,2025-10-20,,,no_rolling_cache
PWM,2025-10-20,,,no_rolling_cache
PXSAW,2025-10-20,,,no_rolling_cache
QSEAR,2025-10-20,,,no_rolling_cache
SCPH,2025-10-20,,,no_rolling_cache
SENEB,2025-10-20,,,no_rolling_cache
SHOT,2025-10-20,,,no_rolling_cache
SHOTW,2025-10-20,,,no_rolling_cache
SWIN,2025-10-20,,,no_rolling_cache
TOIIW,2025-10-20,,,no_rolling_cache
UCFIW,2025-10-20,,,no_rolling_cache
UYSCR,2025-10-20,,,no_rolling_cache
VNMEW,2025-10-20,,,no_rolling_cache
VRNA,2025-10-20,,,no_rolling_cache
WNS,2025-10-20,,,no_rolling_cache
WTGUR,2025-10-20,,,no_rolling_cache
YHNAR,2025-10-20,,,no_rolling_cache
